# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2700053	2700589	-							B4U62_14225	537		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2700053	2700589	-	AQZ91528.1			hypothetical protein			B4U62_14225	537	178	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2700858	2701376	+							B4U62_14230	519		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2700858	2701376	+	AQZ91529.1			ImmA/IrrE family metallo-endopeptidase			B4U62_14230	519	172	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2701358	2701774	+							B4U62_14235	417		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2701358	2701774	+	AQZ91530.1			RNA polymerase subunit sigma			B4U62_14235	417	138	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2701841	2702056	-							B4U62_14240	216		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2701841	2702056	-	AQZ91531.1			recombinase			B4U62_14240	216	71	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2701999	2702163	-							B4U62_14245	165		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2701999	2702163	-	AQZ91532.1			hypothetical protein			B4U62_14245	165	54	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2702708	2703124	-							B4U62_14250	417		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2702708	2703124	-	AQZ91533.1			phosphate-starvation-inducible protein PsiE			B4U62_14250	417	138	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2703170	2704468	-							B4U62_14255	1299		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2703170	2704468	-	AQZ91534.1			sensor histidine kinase			B4U62_14255	1299	432	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2704455	2705150	-							B4U62_14260	696		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2704455	2705150	-	AQZ91535.1			DNA-binding response regulator			B4U62_14260	696	231	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2705418	2706635	+							B4U62_14265	1218		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2705418	2706635	+	AQZ91536.1			hypothetical protein			B4U62_14265	1218	405	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2707147	2707704	+							B4U62_14270	558		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2707147	2707704	+	AQZ91537.1			N-acetyltransferase			B4U62_14270	558	185	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2708194	2708718	-							B4U62_14275	525		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2708194	2708718	-	AQZ91538.1			general stress protein			B4U62_14275	525	174	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2708962	2709438	-							B4U62_14280	477		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2708962	2709438	-	AQZ91539.1			HXXEE domain-containing protein			B4U62_14280	477	158	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2710021	2710806	-							B4U62_14285	786		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2710021	2710806	-	AQZ91540.1			anion permease			B4U62_14285	786	261	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2710867	2711094	-							B4U62_14290	228		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2710867	2711094	-	AQZ91541.1			hypothetical protein			B4U62_14290	228	75	
gene	pseudogene	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2711128	2712262	-							B4U62_14295	1135		pseudo
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2711128	2712262	-				hypothetical protein			B4U62_14295	1135		pseudo
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2712292	2712402	-							B4U62_14300	111		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2712292	2712402	-	AQZ91542.1			peroxiredoxin			B4U62_14300	111	36	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2712597	2713154	-							B4U62_14305	558		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2712597	2713154	-	AQZ91543.1			hypothetical protein			B4U62_14305	558	185	
gene	pseudogene	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2713220	2713316	-							B4U62_14310	97		pseudo
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2713220	2713316	-				sulfurtransferase			B4U62_14310	97		pseudo
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2713340	2713822	-							B4U62_14315	483		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2713340	2713822	-	AQZ91544.1			hypothetical protein			B4U62_14315	483	160	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2713969	2714229	-							B4U62_14320	261		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2713969	2714229	-	AQZ91545.1			cytoplasmic protein			B4U62_14320	261	86	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2714251	2714568	-							B4U62_14325	318		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2714251	2714568	-	AQZ91546.1			sulfurtransferase			B4U62_14325	318	105	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2714610	2714825	-							B4U62_14330	216		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2714610	2714825	-	AQZ91547.1			hypothetical protein			B4U62_14330	216	71	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2714953	2715513	-							B4U62_14335	561		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2714953	2715513	-	AQZ91548.1			hypothetical protein			B4U62_14335	561	186	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2715530	2715742	-							B4U62_14340	213		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2715530	2715742	-	AQZ91549.1			NTP pyrophosphohydrolase			B4U62_14340	213	70	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2715739	2715885	-							B4U62_14345	147		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2715739	2715885	-	AQZ91550.1			hypothetical protein			B4U62_14345	147	48	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2716055	2716876	-							B4U62_14350	822		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2716055	2716876	-	AQZ91551.1			multidrug-efflux transporter 2 regulator			B4U62_14350	822	273	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2716993	2718195	+							B4U62_14355	1203		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2716993	2718195	+	AQZ91552.1			multidrug resistance protein 2			B4U62_14355	1203	400	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2718364	2718822	+							B4U62_14360	459		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2718364	2718822	+	AQZ91553.1			spermine/spermidine acetyltransferase			B4U62_14360	459	152	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2718979	2720283	-							B4U62_14365	1305		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2718979	2720283	-	AQZ91554.1			hemolysin			B4U62_14365	1305	434	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2720546	2720689	-							B4U62_14370	144		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2720546	2720689	-	AQZ91555.1			YrzO family protein			B4U62_14370	144	47	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2720707	2721672	-							B4U62_14375	966		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2720707	2721672	-	AQZ91556.1			EamA family transporter			B4U62_14375	966	321	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2721798	2722664	+							B4U62_14380	867		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2721798	2722664	+	AQZ91557.1			transcriptional regulator			B4U62_14380	867	288	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2722787	2723824	-							B4U62_14385	1038		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2722787	2723824	-	AQZ91558.1			oxidoreductase			B4U62_14385	1038	345	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2723912	2724847	-							B4U62_14390	936		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2723912	2724847	-	AQZ91559.1			H+/K+ antiporter			B4U62_14390	936	311	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2725134	2725523	-							B4U62_14395	390		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2725134	2725523	-	AQZ91560.1			tautomerase			B4U62_14395	390	129	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2725857	2726747	+							B4U62_14400	891		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2725857	2726747	+	AQZ91561.1			transcriptional regulator			B4U62_14400	891	296	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2726905	2727183	-							B4U62_14405	279		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2726905	2727183	-	AQZ93095.1			hypothetical protein			B4U62_14405	279	92	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2727180	2728502	-							B4U62_14410	1323		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2727180	2728502	-	AQZ91562.1			branched-chain amino acid transport system carrier protein BrnQ			B4U62_14410	1323	440	
gene	pseudogene	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2728667	2728998	-							B4U62_14415	332		pseudo
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2728667	2728998	-				branched-chain amino acid transporter AzlD			B4U62_14415	332		pseudo
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2728995	2729759	-							B4U62_14420	765		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2728995	2729759	-	AQZ91563.1			branched-chain amino acid transporter AzlC			B4U62_14420	765	254	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2729772	2730245	-							B4U62_14425	474		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2729772	2730245	-	AQZ91564.1			transcriptional regulator AzlB			B4U62_14425	474	157	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2730579	2730854	-							B4U62_14430	276		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2730579	2730854	-	AQZ91565.1			barnase inhibitor			B4U62_14430	276	91	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2731126	2732358	-							B4U62_14435	1233		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2731126	2732358	-	AQZ91566.1			cytochrome P450			B4U62_14435	1233	410	
gene	pseudogene	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2732563	2732765	-							B4U62_14440	203		pseudo
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2732563	2732765	-				hypothetical protein			B4U62_14440	203		pseudo
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2732998	2733561	-							B4U62_14445	564		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2732998	2733561	-	AQZ91567.1			cysteine hydrolase			B4U62_14445	564	187	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2733790	2734161	-							B4U62_14450	372		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2733790	2734161	-	AQZ93096.1			hypothetical protein			B4U62_14450	372	123	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2734971	2735474	-							B4U62_14455	504		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2734971	2735474	-	AQZ91568.1			hypothetical protein			B4U62_14455	504	167	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2735700	2736554	-							B4U62_14460	855		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2735700	2736554	-	AQZ91569.1			aminoglycoside 6-adenylyltransferase AadK			B4U62_14460	855	284	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2736933	2737976	+							B4U62_14465	1044		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2736933	2737976	+	AQZ91570.1			nitronate monooxygenase			B4U62_14465	1044	347	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2737941	2738153	-							B4U62_14470	213		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2737941	2738153	-	AQZ91571.1			hypothetical protein			B4U62_14470	213	70	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2738190	2738384	-							B4U62_14475	195		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2738190	2738384	-	AQZ91572.1			hypothetical protein			B4U62_14475	195	64	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2738326	2739123	+							B4U62_14480	798		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2738326	2739123	+	AQZ91573.1			glutamate racemase			B4U62_14480	798	265	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2739504	2740211	+							B4U62_14485	708		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2739504	2740211	+	AQZ91574.1			hypothetical protein			B4U62_14485	708	235	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2740787	2740864	+							B4U62_14490	78		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2740787	2740864	+	AQZ93097.1			sporulation protein YjcZ			B4U62_14490	78	25	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2741375	2742130	-							B4U62_14495	756		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2741375	2742130	-	AQZ91575.1			metal-binding protein			B4U62_14495	756	251	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2742262	2742792	-							B4U62_14500	531		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2742262	2742792	-	AQZ91576.1			RNA polymerase sigma factor SigZ			B4U62_14500	531	176	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2742927	2743907	+							B4U62_14505	981		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2742927	2743907	+	AQZ93098.1			aldo/keto reductase			B4U62_14505	981	326	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2744181	2745497	-							B4U62_14510	1317		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2744181	2745497	-	AQZ91577.1			transporter			B4U62_14510	1317	438	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2745612	2746481	-							B4U62_14515	870		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2745612	2746481	-	AQZ91578.1			LysR family transcriptional regulator			B4U62_14515	870	289	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2746626	2747729	+							B4U62_14520	1104		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2746626	2747729	+	AQZ91579.1			isomerase			B4U62_14520	1104	367	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2748002	2748835	-							B4U62_14525	834		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2748002	2748835	-	AQZ91580.1			chitosanase			B4U62_14525	834	277	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2749278	2749541	+							B4U62_14530	264		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2749278	2749541	+	AQZ91581.1			hypothetical protein			B4U62_14530	264	87	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2749678	2750493	+							B4U62_14535	816		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2749678	2750493	+	AQZ91582.1			alpha/beta hydrolase			B4U62_14535	816	271	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2750901	2751257	-							B4U62_14540	357		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2750901	2751257	-	AQZ91583.1			hypothetical protein			B4U62_14540	357	118	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2751310	2751744	-							B4U62_14545	435		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2751310	2751744	-	AQZ91584.1			hypothetical protein			B4U62_14545	435	144	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2752185	2752571	-							B4U62_14550	387		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2752185	2752571	-	AQZ91585.1			hypothetical protein			B4U62_14550	387	128	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2752820	2753065	+							B4U62_14555	246		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2752820	2753065	+	AQZ91586.1			spore coat protein F-like protein YraG			B4U62_14555	246	81	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2753083	2753451	+							B4U62_14560	369		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2753083	2753451	+	AQZ91587.1			conjugal transfer protein TraF			B4U62_14560	369	122	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2753470	2754606	+							B4U62_14565	1137		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2753470	2754606	+	AQZ91588.1			glutathione-dependent formaldehyde dehydrogenase			B4U62_14565	1137	378	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2754625	2754822	+							B4U62_14570	198		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2754625	2754822	+	AQZ91589.1			hypothetical protein			B4U62_14570	198	65	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2754838	2755137	+							B4U62_14575	300		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2754838	2755137	+	AQZ91590.1			spore coat protein F-like protein YraD			B4U62_14575	300	99	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2755400	2755822	-							B4U62_14580	423		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2755400	2755822	-	AQZ91591.1			MerR family transcriptional regulator			B4U62_14580	423	140	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2756005	2756199	+							B4U62_14585	195		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2756005	2756199	+	AQZ91592.1			carboxymuconolactone decarboxylase			B4U62_14585	195	64	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2756330	2757379	+							B4U62_14590	1050		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2756330	2757379	+	AQZ91593.1			formaldehyde dehydrogenase AdhA			B4U62_14590	1050	349	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2757510	2758019	+							B4U62_14595	510		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2757510	2758019	+	AQZ91594.1			glutamine amidotransferase			B4U62_14595	510	169	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2758061	2760094	-							B4U62_14600	2034		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2758061	2760094	-	AQZ91595.1			levanase			B4U62_14600	2034	677	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2760251	2761078	-							B4U62_14605	828		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2760251	2761078	-	AQZ91596.1			fructose permease IID component			B4U62_14605	828	275	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2761099	2761908	-							B4U62_14610	810		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2761099	2761908	-	AQZ91597.1			fructose permease IIC component			B4U62_14610	810	269	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2761925	2762413	-							B4U62_14615	489		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2761925	2762413	-	AQZ91598.1			PTS fructose transporter subunit IIB			B4U62_14615	489	162	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2762413	2762853	-							B4U62_14620	441		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2762413	2762853	-	AQZ91599.1			PTS fructose transporter subunit IIA			B4U62_14620	441	146	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2763043	2765850	-							B4U62_14625	2808		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2763043	2765850	-	AQZ91600.1			transcriptional regulator			B4U62_14625	2808	935	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2766576	2767964	+							B4U62_14630	1389		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2766576	2767964	+	AQZ91601.1			amino-acid permease AapA			B4U62_14630	1389	462	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2768060	2768692	-							B4U62_14635	633		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2768060	2768692	-	AQZ91602.1			hypothetical protein			B4U62_14635	633	210	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2768845	2769672	+							B4U62_14640	828		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2768845	2769672	+	AQZ91603.1			TrmB family transcriptional regulator			B4U62_14640	828	275	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2769868	2770368	+							B4U62_14645	501		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2769868	2770368	+	AQZ91604.1			RNA polymerase sigma factor SigV			B4U62_14645	501	166	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2770368	2771225	+							B4U62_14650	858		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2770368	2771225	+	AQZ91605.1			anti-sigma-V factor rsiV			B4U62_14650	858	285	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2771336	2773240	+							B4U62_14655	1905		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2771336	2773240	+	AQZ91606.1			acetyltransferase			B4U62_14655	1905	634	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2773374	2773664	+							B4U62_14660	291		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2773374	2773664	+	AQZ91607.1			hypothetical protein			B4U62_14660	291	96	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2773908	2777072	-							B4U62_14665	3165		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2773908	2777072	-	AQZ91608.1			bifunctional P-450/NADPH-P450 reductase			B4U62_14665	3165	1054	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2777088	2777672	-							B4U62_14670	585		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2777088	2777672	-	AQZ91609.1			TetR family transcriptional regulator			B4U62_14670	585	194	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2777895	2778437	-							B4U62_14675	543		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2777895	2778437	-	AQZ91610.1			SAM-dependent methyltransferase			B4U62_14675	543	180	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2778941	2779090	-							B4U62_14680	150		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2778941	2779090	-	AQZ91611.1			YrzI family small protein			B4U62_14680	150	49	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2779480	2780280	-							B4U62_14685	801		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2779480	2780280	-	AQZ91612.1			transporter			B4U62_14685	801	266	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2780543	2780911	-							B4U62_14690	369		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2780543	2780911	-	AQZ91613.1			hypothetical protein			B4U62_14690	369	122	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2781227	2784169	+							B4U62_14695	2943		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2781227	2784169	+	AQZ93099.1			formate dehydrogenase subunit alpha			B4U62_14695	2943	980	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2784188	2784670	+							B4U62_14700	483		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2784188	2784670	+	AQZ91614.1			hypothetical protein			B4U62_14700	483	160	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2784706	2784936	-							B4U62_14705	231		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2784706	2784936	-	AQZ91615.1			hypothetical protein			B4U62_14705	231	76	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2785019	2786158	-							B4U62_14710	1140		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2785019	2786158	-	AQZ91616.1			cystathionine gamma-lyase			B4U62_14710	1140	379	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2786160	2787083	-							B4U62_14715	924		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2786160	2787083	-	AQZ91617.1			O-acetylserine dependent cystathionine beta-synthase			B4U62_14715	924	307	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2787148	2787843	-							B4U62_14720	696		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2787148	2787843	-	AQZ91618.1			5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase			B4U62_14720	696	231	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2787864	2788505	-							B4U62_14725	642		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	2787864	2788505	-	AQZ91619.1			methyltransferase			B4U62_14725	642	213	
